"","year","month","pneu_ad","stdpop","time","pcv","pcv.lag1","pcv.lag3","pcv.lag6","pcv.lag9","rate","lag"
"1",2004,1,1562,5514526.16410587,1,0,0,0,0,0,2.83251897536923,NA
"2",2004,2,2272,5564488.08657684,2,0,0,0,0,0,4.08303506926491,7.35372233039963
"3",2004,3,2343,5609643.93978776,3,0,0,0,0,0,4.17673568081872,7.72841577984104
"4",2004,4,2569,5568790.91810242,4,0,0,0,0,0,4.61320964960091,7.7591874385078
"5",2004,5,2500,5585966.39340886,5,0,0,0,0,0,4.47550132587597,7.85127199710988
"6",2004,6,2626,5559820.2710375,6,0,0,0,0,0,4.72317426100892,7.82404601085629
"7",2004,7,2992,5463117.01700693,7,0,0,0,0,0,5.47672691374863,7.87321705486274
"8",2004,8,2462,5396514.29100058,8,0,0,0,0,0,4.56220416965396,8.00369733909437
"9",2004,9,2432,5457885.16988729,9,0,0,0,0,0,4.45593837960908,7.8087293067444
"10",2004,10,2443,5547327.07580735,10,0,0,0,0,0,4.40392276607279,7.79646924308606
"11",2004,11,2236,5558055.72977575,11,0,0,0,0,0,4.02298952855267,7.80098207125774
"12",2004,12,2634,5507930.41000633,12,0,0,0,0,0,4.78219549617907,7.71244383427499
"13",2005,1,2984,5647045.93161193,13,0,0,0,0,0,5.28417873014932,7.87625888230323
"14",2005,2,2769,5692946.55229848,14,0,0,0,0,0,4.86391357193058,8.00101996132365
"15",2005,3,4117,5790086.57214188,15,0,0,0,0,0,7.11042909066044,7.92624152317096
"16",2005,4,3972,5748398.80495335,16,0,0,0,0,0,6.90975023614812,8.3228800217699
"17",2005,5,3821,5787727.6561157,17,0,0,0,0,0,6.60190013599288,8.28702502516506
"18",2005,6,3068,5863460.32314045,18,0,0,0,0,0,5.23240515142906,8.2482674474469
"19",2005,7,2928,5880548.21461786,19,0,0,0,0,0,4.97912761385339,8.02878116248715
"20",2005,8,2517,5876807.09999665,20,0,0,0,0,0,4.28293792389653,7.9820748750812
"21",2005,9,2403,5938745.02986032,21,0,0,0,0,0,4.04630942718974,7.83082299513532
"22",2005,10,2814,6022033.71333878,22,0,0,0,0,0,4.67283999717073,7.78447323573647
"23",2005,11,2480,5955553.19110403,23,0,0,0,0,0,4.16418075772447,7.94236223767433
"24",2005,12,2788,5799297.35559268,24,0,0,0,0,0,4.80747895658657,7.81601383915903
"25",2006,1,2823,5977005.3542543,25,0,0,0,0,0,4.72310100574137,7.93307977188041
"26",2006,2,2437,6025917.13753008,26,0,0,0,0,0,4.04419766216514,7.94555542825349
"27",2006,3,3021,6103353.57998327,27,0,0,0,0,0,4.949737812844,7.79852305362521
"28",2006,4,2909,6149327.8205003,28,0,0,0,0,0,4.73059834328905,8.01334318138667
"29",2006,5,2785,6175106.72898236,29,0,0,0,0,0,4.5100435056917,7.9755646584952
"30",2006,6,3081,6203485.15366752,30,0,0,0,0,0,4.96656302655694,7.93200315236138
"31",2006,7,3214,6248522.82992171,31,0,0,0,0,0,5.14361567922809,8.03300949859667
"32",2006,8,2732,6114230.52520794,32,0,0,0,0,0,4.46826463074368,8.07527154629746
"33",2006,9,2679,6115676.63231606,33,0,0,0,0,0,4.38054554069095,7.91278922069068
"34",2006,10,2703,6093505.74871242,34,0,0,0,0,0,4.43587010740271,7.89319886954461
"35",2006,11,2642,6043284.58110766,35,0,0,0,0,0,4.37179478235949,7.90211754627645
"36",2006,12,2804,5992931.43185808,36,0,0,0,0,0,4.67884545632225,7.87929148508227
"37",2007,1,3158,6243942.04037441,37,0,0,0,0,0,5.05770229701017,7.93880224815448
"38",2007,2,3066,6254452.32876233,38,0,0,0,0,0,4.90210787265961,8.05769419481559
"39",2007,3,3177,6222170.7400929,39,0,0,0,0,0,5.10593510320896,8.02812905943176
"40",2007,4,3085,6256784.48262435,40,0,0,0,0,0,4.93064769701965,8.06369263426952
"41",2007,5,2993,6267172.15062933,41,0,0,0,0,0,4.77567861240169,8.03430693633949
"42",2007,6,3052,6274986.45055524,42,0,0,0,0,0,4.86375552210148,8.0040315078527
"43",2007,7,3306,6244299.73535012,43,0,0,0,0,0,5.29442874320099,8.02355239240435
"44",2007,8,2594,6226357.72297435,44,0,0,0,0,0,4.16615959990304,8.10349427838097
"45",2007,9,2435,6244638.16065505,45,0,0,0,0,0,3.89934522602439,7.86095636487639
"46",2007,10,2439,6248658.22564719,46,0,0,0,0,0,3.90323796233452,7.79770203551669
"47",2007,11,2625,6254326.21869075,47,0,0,0,0,0,4.19709479201023,7.79934339821592
"48",2007,12,3043,6230923.2533667,48,0,0,0,0,0,4.88370643685236,7.87283617502572
"49",2008,1,3167,6465002.95792236,49,0,0,0,0,0,4.89868298686404,8.02059914989697
"50",2008,2,4003,6462652.00577289,50,0,0,0,0,0,6.19405160052598,8.06054004653864
"51",2008,3,4211,6506510.20474262,51,0,0,0,0,0,6.47197939831185,8.29479935899257
"52",2008,4,2993,6477054.00801182,52,0,0,0,0,0,4.62092796555007,8.34545542816193
"53",2008,5,3177,6512766.58646564,53,0,0,0,0,0,4.87811125705351,8.0040315078527
"54",2008,6,2741,6496774.74468137,54,0,0,0,0,0,4.21901652392049,8.06369263426952
"55",2008,7,3146,6477033.3948241,55,0,0,0,0,0,4.85716192618988,7.91607809630279
"56",2008,8,2703,6475740.92816971,56,0,0,0,0,0,4.17403974306917,8.05388708361822
"57",2008,9,2701,6472480.58812786,57,0,0,0,0,0,4.17305229922869,7.90211754627645
"58",2008,10,2651,6496769.54285361,58,0,0,0,0,0,4.08048951484831,7.90137735379262
"59",2008,11,2728,6486330.47534745,59,0,0,0,0,0,4.20576782260523,7.88269220628903
"60",2008,12,3354,6470493.75944788,60,0,0,0,0,0,5.18353022920803,7.91132401896335
"61",2009,1,3540,6726274.24024692,61,0,0,0,0,0,5.2629433079286,8.11790894238315
"62",2009,2,3123,6739883.37763737,62,0,0,0,0,0,4.63361133274497,8.17188200612782
"63",2009,3,3090,6726359.7109227,63,0,0,0,0,0,4.5938667166168,8.04654935728308
"64",2009,4,3157,6743502.37154037,64,0,0,0,0,0,4.68154354527033,8.03592636989179
"65",2009,5,3060,6722808.68813767,65,0,0,0,0,0,4.55166901506411,8.05737748855799
"66",2009,6,2637,6752764.75442352,66,0,0,0,0,0,3.90506717751805,8.02617019494643
"67",2009,7,2659,6734912.19106449,67,0,0,0,0,0,3.94808413913371,7.87739718635329
"68",2009,8,2968,6740110.94119956,68,0,0,0,0,0,4.40348834891993,7.88570539124302
"69",2009,9,3160,6753664.90638137,69,0,0,0,0,0,4.67894105467714,7.99564360428727
"70",2009,10,3079,6740071.28872508,70,1,0,0,0,0,4.56820094047167,8.05832730658096
"71",2009,11,3075,6731527.47234725,71,1,1,0,0,0,4.56805682310877,8.0323601479245
"72",2009,12,3694,6730111.59412204,72,1,1,0,0,0,5.48876485677634,8.03106018024062
"73",2010,1,3792,7024200,73,1,1,1,0,0,5.39847954215427,8.21446516075919
"74",2010,2,3584,7024200,74,1,1,1,0,0,5.10236041115002,8.24064886337491
"75",2010,3,5248,7024200,75,1,1,1,0,0,7.47131345918396,8.18423477409482
